idx,t_rel_ns,t_abs_ns,x,y,z,yaw
34,566666696,2716666808,-0.001016853904434449,3.3215427413336297e-07,1.8308056185528997e-06,-7.984168980054724e-07
35,583333363,2733333475,-0.00102329133511277,3.3953967070929523e-07,1.7515738506957568e-06,-7.972616355021853e-07
36,600000031,2750000143,-0.0010294901873468835,4.6586074487250134e-07,1.6868661572487482e-06,-1.5458296960230865e-06
37,616666698,2766666810,-0.0010354503198160383,7.111174942923118e-07,1.7260893936858606e-06,-6.1221762397129005e-06
38,633333366,2783333478,-0.0010421269375558038,-1.1568805679051293e-07,1.7664451130612212e-06,6.922667545652821e-05
39,650000034,2800000146,-0.001048562963353652,7.261618100763615e-07,1.970333562701433e-06,7.08764110618008e-05
40,666666701,2816666813,-0.0010542853987469544,7.327266115646019e-07,1.726058661184555e-06,-8.619227032722956e-06
41,683333369,2833333481,-0.0010607235467010906,-2.1356168684188967e-07,1.8852468791669206e-06,-3.376181625225088e-07
42,700000036,2850000148,-0.00106763704469103,6.288352567533846e-07,1.6875581893680341e-06,2.35703033833555e-06
43,716666704,2866666816,-0.0010733591928884713,5.161908401537051e-07,1.7115040673450582e-06,-2.8551590593230427e-06
44,733333371,2883333483,-0.0010797972131849287,-7.246982030370873e-08,1.6918779351636215e-06,-1.3854652087448055e-06
45,750000039,2900000151,-0.0010862333331966112,7.693800481169449e-07,1.8361618144878426e-06,6.965389070228373e-05
46,766666706,2916666818,-0.0010924327043884852,2.996550640814704e-07,1.8757631844535336e-06,-1.5339157846362258e-06
47,783333374,2933333486,-0.0010986314388553057,4.2597613630245224e-07,1.8855612039015139e-06,-1.310967603547418e-06
48,800000041,2950000153,-0.0011048308989249859,4.330880071386412e-07,1.5228308719464944e-06,-4.7625271642110545e-07
49,816666709,2966666821,-0.0011107904615567763,5.59135533809194e-07,2.009088598825481e-06,6.788468550852644e-05
50,833333376,2983333488,-0.0011169894695563852,4.470381838383491e-07,2.0188870444173474e-06,6.794525122580207e-05
51,850000044,3000000156,-0.0011234266077028165,8.120512156442455e-07,1.8651489244493865e-06,6.27735910828044e-05
52,866666711,3016666823,-0.0011293880607289957,-1.3478414667196693e-07,1.9341765767639257e-06,-8.859292563629965e-07
53,883333379,3033333491,-0.001136539745863061,8.270955395856361e-07,1.7964690993060073e-06,6.52707897473885e-05
54,900000047,3050000159,-0.0011425009253564517,1.1867859946125048e-07,1.8654963254766598e-06,-3.0422737041361525e-06
