t_ns,px,py,pz,qx,qy,qz,qw
1773764612196134917,0.5584373474121094,-0.062101103365421295,3.3745992183685303,-0.010436729528009892,0.9350822567939758,0.0026635245885699987,0.3542671501636505
1773764612249727501,0.5565820932388306,-0.062329091131687164,3.3758044242858887,-0.010574898682534695,0.9367853999137878,0.0025586171541363,0.34973523020744324
1773764612300418076,0.5561178922653198,-0.06262263655662537,3.3758387565612793,-0.010710504837334156,0.9384134411811829,0.002485453151166439,0.3453395962715149
1773764612347680134,0.5560332536697388,-0.0622207447886467,3.3755383491516113,-0.010584404692053795,0.9400434494018555,0.002362089464440942,0.34088239073753357
1773764612394246547,0.5565142631530762,-0.060769181698560715,3.3774454593658447,-0.010446716099977493,0.9416804909706116,0.002146658953279257,0.33633944392204285
1773764612445305410,0.5573499202728271,-0.05886189267039299,3.377018690109253,-0.010156712494790554,0.9432352185249329,0.0017772124847397208,0.3319653570652008
1773764612497957148,0.5567100048065186,-0.05938607454299927,3.37734055519104,-0.010468090884387493,0.9447709918022156,0.001950784819200635,0.32755815982818604
1773764612552766206,0.5574076175689697,-0.06014859303832054,3.3799147605895996,-0.011007260531187057,0.9464613199234009,0.0019009539391845465,0.32262399792671204
1773764612606554084,0.5524075031280518,-0.06237388774752617,3.3740687370300293,-0.010436301119625568,0.9475682377815247,0.0021643484942615032,0.3193758428096771
1773764612655893076,0.5506938695907593,-0.061767272651195526,3.3729076385498047,-0.010441058315336704,0.9489205479621887,0.0021633896976709366,0.31533488631248474
1773764612706488049,0.5513372421264648,-0.060251615941524506,3.3747401237487793,-0.010130802169442177,0.9505004286766052,0.0020677547436207533,0.31055110692977905
1773764612755655742,0.5517200231552124,-0.05911124497652054,3.374185085296631,-0.010348011739552021,0.9519351124763489,0.0015906640328466892,0.3061208128929138
1773764612801595844,0.5559098720550537,-0.05624958872795105,3.373257637023926,-0.010021769441664219,0.9534769058227539,0.0010722856968641281,0.3012976050376892
1773764612856322133,0.556046724319458,-0.054547347128391266,3.373506546020508,-0.010005088523030281,0.9548689126968384,0.0008489856263622642,0.29685768485069275
1773764612906275804,0.5523028373718262,-0.05820505693554878,3.376680374145508,-0.010793115012347698,0.9562782645225525,0.0010998888174071908,0.29225701093673706
1773764612956718364,0.5532796382904053,-0.05467682331800461,3.373502731323242,-0.010446391999721527,0.9576147198677063,0.000426923535997048,0.2878624200820923
1773764613011504618,0.5511929988861084,-0.05544445663690567,3.3745503425598145,-0.010255600325763226,0.9588863849639893,0.0006529305828735232,0.28360411524772644
1773764613059425860,0.554749608039856,-0.054516471922397614,3.3761820793151855,-0.01013314351439476,0.9603467583656311,0.0005028782761655748,0.27862367033958435
1773764613100479846,0.5530639886856079,-0.05437473580241203,3.376554489135742,-0.010208186693489552,0.9616312980651855,0.0003861954901367426,0.2741549015045166
1773764613155020978,0.5512440204620361,-0.05538038909435272,3.377986431121826,-0.010346421971917152,0.9628952741622925,0.0005150730139575899,0.26967665553092957
